"Page type"	"Age breast with all 7gr"	"Merge AJCC stage-breast"	"Sex"	"Origin recode NHIA (Hispanic, Non-Hisp)"	"Interval"	"Alive at Start"	"Died"	"Lost to Followup"	"Observed Survival (Interval)"	"Observed Survival (Cum)"	"Expected Survival (Interval)"	"Expected Survival (Cum)"	"Relative Survival (Interval)"	"Relative Survival (Cum)"	"Observed SE (Interval)"	"Observed SE (Cum)"	"Relative SE (Interval)"	"Relative SE (Cum)"
0	0	0	0	0	1	28712	64	249	0.99776	0.99776	0.99860	0.99860	0.99916	0.99916	0.00028	0.00028	0.00028	0.00028
0	0	0	0	0	2	28399	112	235	0.99604	0.99381	0.99849	0.99710	0.99755	0.99670	0.00037	0.00047	0.00037	0.00047
0	0	0	0	0	3	28052	178	1621	0.99347	0.98732	0.99837	0.99547	0.99509	0.99181	0.00049	0.00067	0.00049	0.00067
0	0	0	0	0	4	26253	185	1614	0.99273	0.98014	0.99824	0.99371	0.99448	0.98634	0.00053	0.00085	0.00053	0.00085
0	0	0	0	0	5	24454	183	1490	0.99228	0.97257	0.99809	0.99181	0.99418	0.98060	0.00057	0.00101	0.00057	0.00102
0	0	0	0	0	6	22781	186	1548	0.99155	0.96435	0.99794	0.98977	0.99360	0.97432	0.00062	0.00117	0.00062	0.00118
0	0	0	0	0	7	21047	160	1414	0.99213	0.95677	0.99777	0.98756	0.99435	0.96882	0.00062	0.00130	0.00062	0.00132
0	0	0	0	0	8	19473	149	1439	0.99205	0.94917	0.99759	0.98518	0.99445	0.96345	0.00065	0.00143	0.00065	0.00145
0	0	0	0	0	9	17885	140	1470	0.99184	0.94142	0.99738	0.98260	0.99444	0.95809	0.00069	0.00156	0.00069	0.00159
0	0	0	0	0	10	16275	112	1448	0.99280	0.93464	0.99716	0.97981	0.99562	0.95389	0.00068	0.00168	0.00068	0.00171
0	0	0	0	0	11	14715	112	1535	0.99197	0.92713	0.99693	0.97680	0.99503	0.94915	0.00076	0.00181	0.00076	0.00185
0	0	0	0	0	12	13068	96	1401	0.99224	0.91993	0.99667	0.97355	0.99555	0.94493	0.00079	0.00194	0.00079	0.00199
0	0	0	0	0	13	11571	92	1520	0.99149	0.91211	0.99638	0.97003	0.99509	0.94029	0.00088	0.00209	0.00089	0.00215
0	0	0	0	0	14	9959	77	1494	0.99164	0.90448	0.99608	0.96622	0.99555	0.93610	0.00095	0.00224	0.00095	0.00232
